Individual,Animal Set,Strain Rate (1/s),Tube Foot Stem Breaking Force (N),Tube Foot Stem Extension (m),Tube Foot Stem Initial Spring Constant (N/m),Tube Foot Stem Final Spring Constant (N/m),Tube Foot Stem Work to Failure (J)
Spurp2024-224,WA2,2.112074776434638,0.583708804,0.06862,0.416771215,31.06729245,0.032216084
Spurp2024-225,WA2,4.328733402175841,0.33125552,0.04399,2.767300283,30.39042943,0.010702041
Spurp2024-225,WA2,0.4693807303564165,0.502583491,0.05814,1.330997292,31.83762963,0.02397786
Spurp2024-225,WA2,2.451210480750175,0.43985371,0.047,0.608003557,32.16481754,0.014231605
Spurp2024-226,WA2,3.668021919745448,0.51620675,0.04565,0.773596745,35.46432444,0.018441957
Spurp2024-226,WA2,0.397737316598904,0.52227918,0.03762,0.644169885,31.58707814,0.013166964
Spurp2024-226,WA2,2.0770726533498323,0.58277779,0.05499,0.703929277,29.85615182,0.02600077
Spurp2024-227,WA2,2.950691457214974,0.38540457,0.02739,1.637420955,36.86959036,0.008003919
Spurp2024-227,WA2,0.3199544953606598,0.559455472,0.05211,0.805716517,39.88702114,0.022475938
Spurp2024-227,WA2,1.6708734757723345,0.785764225,0.07238,0.622462928,30.29805338,0.047178503
Spurp2024-228,WA2,3.098356004837915,0.5615197,0.03901,1.842204624,39.23303787,0.015958126
Spurp2024-228,WA2,0.3359663137776052,0.50417835,0.04005,2.957379367,30.43192591,0.014203728
Spurp2024-228,WA2,1.754490749727494,0.663117678,0.03572,1.527369005,37.14614103,0.016956288
Spurp2024-229,WA2,3.781769138941286,0.60223631,0.04067,0.326349419,36.91843947,0.01801099
Spurp2024-229,WA2,0.4100713524153202,0.560697997,0.03096,1.959258197,40.42538996,0.011245733
Spurp2024-229,WA2,2.1414837292800057,0.566214869,0.0376,0.417110765,40.48558607,0.016455993
